,,,Wave 1,,Wave 2,,Wave 3,,Wave 4,
,,,Est.,CI,Est.,CI,Est.,CI,Est.,CI
Personal,,,,,,,,,,
Filter-derived,24h PM2.5,Mean,117,"[105, 129]",97,"[87, 107]",,,84,"[72, 96]"
,,GM,72,"[65, 80]",60,"[54, 66]",,,47,"[42, 52]"
,BC,Mean,3.9,"[3.5, 4.4]",3.6,"[2.9, 4.2]",,,3.7,"[2.9, 4.5]"
,,GM,2.6,"[2.4, 2.8]",1.9,"[1.7, 2.1]",,,1.7,"[1.5, 1.9]"
Indoor,,,,,,,,,,
Sensor-derived,Seasonal PM2.5,Mean,,,94,"[84, 103]",84,"[75, 94]",67,"[59, 75]"
,,GM,,,71,"[65, 77]",63,"[57, 70]",47,"[42, 52]"
Filter-derived,24h PM2.5,Mean,,,69,"[59, 78]",,,58,"[48, 68]"
,,GM,,,45,"[39, 53]",,,33,"[27, 40]"
,BC,Mean,,,2.7,"[2.1, 3.2]",,,2.9,"[2.2, 3.5]"
,,GM,,,1.6,"[1.3, 2.0]",,,1.6,"[1.3, 1.9]"
Outdoor,,,,,,,,,,
Sensor-derived,Seasonal PM2.5,Mean,47,"[45, 48]",55,"[54, 56]",33,"[32, 34]",33,"[32, 34]"
,,GM,36,"[35,37]",40,"[39, 41]",23,"[22, 23]",22,"[22, 23]"
Filter-derived,,Mean,38,"[34, 42]",38,"[34, 41]",25,"[23, 28]",26,"[24, 28]"
,,GM,33,"[29, 36]",30,"[28, 32]",21,"[19, 23]",22,"[21, 24]"
,Seasonal BC,Mean,1.5,"[1.3, 1.6]",1.4,"[1.3, 1.5]",,,1.2,"[1.1, 1.2]"
,,GM,1.3,"[1.1, 1.4]",1.1,"[1.0, 1.2]",,,1,"[0.9, 1.1]"